Fund Holdings as of,"06/Aug/2026"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"ELISA","ELISA","Communication","Equity","1,803,301.92","0.27","1,803,301.92","51,114.00","35.28","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"G24","SCOUT24 N","Communication","Equity","1,713,937.80","0.25","1,713,937.80","23,871.00","71.80","Germany","Xetra","EUR"
"SCHP","SCHINDLER HOLDING PAR AG","Industrials","Equity","1,684,496.71","0.25","1,684,496.71","5,950.00","283.11","Switzerland","SIX Swiss Exchange","CHF"
"SMIN","SMITHS GROUP PLC","Industrials","Equity","1,653,356.07","0.24","1,653,356.07","52,907.00","31.25","United Kingdom","London Stock Exchange","GBP"
"KOG","KONGSBERG GRUPPEN","Industrials","Equity","1,607,506.40","0.24","1,607,506.40","57,501.00","27.96","Norway","Oslo Bors Asa","NOK"
"BVI","BUREAU VERITAS SA","Industrials","Equity","1,493,498.16","0.22","1,493,498.16","52,514.00","28.44","France","Nyse Euronext - Euronext Paris","EUR"
"ADDT B","ADDTECH CLASS B","Industrials","Equity","1,407,564.03","0.21","1,407,564.03","43,017.00","32.72","Sweden","Nasdaq Omx Nordic","SEK"
"G1A","GEA GROUP AG","Industrials","Equity","1,384,421.15","0.20","1,384,421.15","21,581.00","64.15","Germany","Xetra","EUR"
"NTGY","NATURGY ENERGY GROUP SA","Utilities","Equity","1,317,404.50","0.19","1,317,404.50","45,775.00","28.78","Spain","Bolsa De Madrid","EUR"
"INDU C","INDUSTRIVARDEN SERIES","Financials","Equity","1,302,445.46","0.19","1,302,445.46","25,690.00","50.70","Sweden","Nasdaq Omx Nordic","SEK"
"BOL","BOLIDEN","Materials","Equity","1,287,553.52","0.19","1,287,553.52","27,735.00","46.42","Sweden","Nasdaq Omx Nordic","SEK"
"EDV","ENDEAVOUR MINING","Materials","Equity","1,252,317.14","0.18","1,252,317.14","27,592.00","45.39","United Kingdom","London Stock Exchange","GBP"
"MONC","MONCLER","Consumer Discretionary","Equity","1,169,170.12","0.17","1,169,170.12","22,889.00","51.08","Italy","Borsa Italiana","EUR"
